,consensus,glate_farinotti_alpha,True thickness,data-raw/data,data-raw/raw
CA,2.1110113080709003,1.935001259867044,1.8013965688486215,-0.17187483565607753,-0.14666654699505763
KW1,2.363016479002261,2.1659949622480967,1.7299913611920104,-0.36591229991696567,-0.26788857523225296
KW2,2.2868963909307434,2.0962215519007623,1.9651968964860482,-0.16369835257725232,-0.14067077796811195
KW3,3.051653622432736,2.7972155255292375,3.1153371999999995,0.02044195330356647,0.020868547170335747
KW4,3.1162229488076796,2.8564012467679434,2.8478032991364888,-0.09425498234115434,-0.0861362149245107
KW5,3.2000184664575624,2.9332101340339816,2.5712532336305,-0.24453648695631308,-0.19648800137178865
NA,1.7727008687353687,1.6248981704706442,1.599803177349869,-0.10807435179114394,-0.09753348375625466
SA,1.4182980858028627,1.3000444732938052,1.1381521875760894,-0.24614098297644801,-0.19752258078257912
SW,0.7167818086463222,0.6570186041862052,0.6608408192898105,-0.08465123176959638,-0.07804465554470337
