,consensus,True thickness,data-raw/data,data-raw/raw
CA,2.3016874349974015,1.7174710183504185,-0.34016085884704245,-0.2538209175424562
KW1,2.724229087062488,1.6959417453607026,-0.6063223247583209,-0.37745993778026155
KW2,2.6370346195980616,1.9334914354729213,-0.36387189062105024,-0.2667933059719841
KW3,3.389108484272899,2.9298386092829483,-0.15675603206770247,-0.13551347710502182
KW4,3.7008933967046707,2.8337350795879486,-0.30601248626347066,-0.23431053644745684
KW5,3.419376969157126,2.517726278834205,-0.3581210149422662,-0.2636885896044322
NA,1.7852994240934055,1.6740308262605132,-0.06646747245476145,-0.062324894262146324
SA,1.4153826743288438,1.0732405738907485,-0.31879348280483855,-0.241731163340921
SW,0.7336968156487503,0.6314679031063292,-0.16189090853158922,-0.1393340005871883
